1,1
3,3
5,5
7,7
9,9
11,11
13,13
15,15
17,17
19,19
21,21
23,23
25,25
27,27
29,29
31,31
33,33
35,35
37,37
39,39
41,41
43,43
45,45
47,47
49,49
51,51
53,53
55,55
57,57
59,59
61,61
63,63
65,65
67,67
69,163
71,165
73,167
75,169
77,171
79,173
81,175
83,177
85,179
87,181
89,183
91,185
93,187
95,69
97,71
99,73
101,75
103,77
105,79
107,81
109,83
111,85
113,87
115,89
117,91
119,93
121,95
123,97
125,99
127,101
129,103
131,105
133,107
135,109
137,111
139,113
141,115
143,117
145,119
147,121
149,123
151,125
153,127
155,129
157,131
159,133
161,135
163,137
165,139
167,141
169,143
171,145
173,147
175,149
177,151
179,153
181,155
183,157
185,159
187,161
189,189
191,191
193,193
195,195
197,197
199,199
201,201
203,203
205,205
207,207
209,209
211,211
213,213
215,215
217,217
219,219
221,221
223,223
225,225
227,227
229,229
231,231
233,233
235,235
237,237
239,239
241,241
243,243
245,245
2,68
4,66
6,64
8,62
10,60
12,58
14,56
16,54
18,52
20,50
22,48
24,46
26,44
28,42
30,40
32,38
34,36
36,34
38,32
40,30
42,28
44,26
46,24
48,22
50,20
52,18
54,16
56,14
58,12
60,10
62,8
64,6
66,4
68,2
70,174
72,172
74,170
76,168
78,166
80,164
82,188
84,186
86,184
88,182
90,180
92,178
94,176
96,124
98,122
100,120
102,118
104,116
106,114
108,112
110,110
112,108
114,106
116,104
118,102
120,100
122,98
124,96
126,94
128,92
130,90
132,88
134,86
136,84
138,82
140,80
142,78
144,76
146,74
148,72
150,70
152,162
154,160
156,158
158,156
160,154
162,152
164,150
166,148
168,146
170,144
172,142
174,140
176,138
178,136
180,134
182,132
184,130
186,128
188,126
190,210
192,208
194,206
196,204
198,202
200,200
202,198
204,196
206,194
208,192
210,190
212,246
214,244
216,242
218,240
220,238
222,236
224,234
226,232
228,230
230,228
232,226
234,224
236,222
238,220
240,218
242,216
244,214
246,212
