60,PrG_R_6_4,Frontal Lobe ,"PrG, Precentral Gyrus","A4t, area 4(trunk region)"
61,PrG_L_6_5,Frontal Lobe ,"PrG, Precentral Gyrus","A4tl, area 4(tongue and larynx region)"
62,PrG_R_6_5,Frontal Lobe ,"PrG, Precentral Gyrus","A4tl, area 4(tongue and larynx region)"
63,PrG_L_6_6,Frontal Lobe ,"PrG, Precentral Gyrus","A6cvl, caudal ventrolateral area 6"
64,PrG_R_6_6,Frontal Lobe ,"PrG, Precentral Gyrus","A6cvl, caudal ventrolateral area 6"
65,PCL_L_2_1,Frontal Lobe ,"PCL,Paracentral Lobule","A1/2/3ll, area1/2/3 (lower limb region)"
66,PCL_R_2_1,Frontal Lobe ,"PCL,Paracentral Lobule","A1/2/3ll, area1/2/3 (lower limb region)"
67,PCL_L_2_2,Frontal Lobe ,"PCL,Paracentral Lobule","A4ll, area 4, (lower limb region)"
68,PCL_R_2_2,Frontal Lobe ,"PCL,Paracentral Lobule","A4ll, area 4, (lower limb region)"
69,STG_L_6_1,Temporal Lobe,"STG, Superior Temporal Gyrus","A38m, medial area 38"
70,STG_R_6_1,Temporal Lobe,"STG, Superior Temporal Gyrus","A38m, medial area 38"
71,STG_L_6_2,Temporal Lobe,"STG, Superior Temporal Gyrus","A41/42, area 41/42"
72,STG_R_6_2,Temporal Lobe,"STG, Superior Temporal Gyrus","A41/42, area 41/42"
73,STG_L_6_3,Temporal Lobe,"STG, Superior Temporal Gyrus",TE1.0 and TE1.2
74,STG_R_6_3,Temporal Lobe,"STG, Superior Temporal Gyrus",TE1.0 and TE1.2
75,STG_L_6_4,Temporal Lobe,"STG, Superior Temporal Gyrus","A22c, caudal area 22"
76,STG_R_6_4,Temporal Lobe,"STG, Superior Temporal Gyrus","A22c, caudal area 22"
77,STG_L_6_5,Temporal Lobe,"STG, Superior Temporal Gyrus","A38l, lateral area 38"
78,STG_R_6_5,Temporal Lobe,"STG, Superior Temporal Gyrus","A38l, lateral area 38"
79,STG_L_6_6,Temporal Lobe,"STG, Superior Temporal Gyrus","A22r, rostral area 22"
80,STG_R_6_6,Temporal Lobe,"STG, Superior Temporal Gyrus","A22r, rostral area 22"
81,MTG_L_4_1,Temporal Lobe,"MTG, Middle Temporal Gyrus","A21c, caudal area 21"
82,MTG_R_4_1,Temporal Lobe,"MTG, Middle Temporal Gyrus","A21c, caudal area 21"
83,MTG_L_4_2,Temporal Lobe,"MTG, Middle Temporal Gyrus","A21r, rostral area 21"
84,MTG_R_4_2,Temporal Lobe,"MTG, Middle Temporal Gyrus","A21r, rostral area 21"
85,MTG_L_4_3,Temporal Lobe,"MTG, Middle Temporal Gyrus","A37dl, dorsolateral area37"
86,MTG_R_4_3,Temporal Lobe,"MTG, Middle Temporal Gyrus","A37dl, dorsolateral area37"
87,MTG_L_4_4,Temporal Lobe,"MTG, Middle Temporal Gyrus","aSTS, anterior superior temporal sulcus"
88,MTG_R_4_4,Temporal Lobe,"MTG, Middle Temporal Gyrus","aSTS, anterior superior temporal sulcus"
89,ITG_L_7_1,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20iv, intermediate ventral area 20"
90,ITG_R_7_1,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20iv, intermediate ventral area 20"
91,ITG_L_7_2,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A37vm, ventromedial area37"
92,ITG_R_7_2,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A37vm, ventromedial area37"
93,ITG_L_7_3,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20r, rostral area 20"
94,ITG_R_7_3,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20r, rostral area 20"
95,ITG_L_7_4,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20il, intermediate lateral area 20"
96,ITG_R_7_4,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20il, intermediate lateral area 20"
97,ITG_L_7_5,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A37vl, ventrolateral area 37"
98,ITG_R_7_5,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A37vl, ventrolateral area 37"
99,ITG_L_7_6,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20cl, caudolateral of area 20"
100,ITG_R_7_6,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20cl, caudolateral of area 20"
101,ITG_L_7_7,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20cv, caudoventral of area 20"
102,ITG_R_7_7,Temporal Lobe,"ITG, Inferior Temporal Gyrus","A20cv, caudoventral of area 20"
103,FuG_L_3_1,Temporal Lobe,"FuG, Fusiform Gyrus","A20rv, rostroventral area 20"
104,FuG_R_3_1,Temporal Lobe,"FuG, Fusiform Gyrus","A20rv, rostroventral area 20"
105,FuG_L_3_2,Temporal Lobe,"FuG, Fusiform Gyrus","A37vm, medioventral area37"
106,FuG_R_3_2,Temporal Lobe,"FuG, Fusiform Gyrus","A37vm, medioventral area37"
107,FuG_L_3_3,Temporal Lobe,"FuG, Fusiform Gyrus","A37vl, ventrolatral area37"
108,FuG_R_3_3,Temporal Lobe,"FuG, Fusiform Gyrus","A37vl, ventrolatral area37"
109,PhG_L_6_1,Temporal Lobe,"PhG, Parahippocampal Gyrus","A35/36r, rostral area 35/36"
110,PhG_R_6_1,Temporal Lobe,"PhG, Parahippocampal Gyrus","A35/36r, rostral area 35/36"
111,PhG_L_6_2,Temporal Lobe,"PhG, Parahippocampal Gyrus","A35/36c, caudal area 35/36"
112,PhG_R_6_2,Temporal Lobe,"PhG, Parahippocampal Gyrus","A35/36c, caudal area 35/36"
113,PhG_L_6_3,Temporal Lobe,"PhG, Parahippocampal Gyrus","TL, area TL (lateral PPHC, posterior parahippocampal gyrus)"
114,PhG_R_6_3,Temporal Lobe,"PhG, Parahippocampal Gyrus","TL, area TL (lateral PPHC, posterior parahippocampal gyrus)"
115,PhG_L_6_4,Temporal Lobe,"PhG, Parahippocampal Gyrus","A28/34, area 28/34 (EC, entorhinal cortex)"
116,PhG_R_6_4,Temporal Lobe,"PhG, Parahippocampal Gyrus","A28/34, area 28/34 (EC, entorhinal cortex)"
117,PhG_L_6_5,Temporal Lobe,"PhG, Parahippocampal Gyrus","TI, area TI(temporal agranular insular cortex)"
118,PhG_R_6_5,Temporal Lobe,"PhG, Parahippocampal Gyrus","TI, area TI(temporal agranular insular cortex)"
119,PhG_L_6_6,Temporal Lobe,"PhG, Parahippocampal Gyrus","TH, area TH (medial PPHC)"
120,PhG_R_6_6,Temporal Lobe,"PhG, Parahippocampal Gyrus","TH, area TH (medial PPHC)"
121,pSTS_L_2_1,Temporal Lobe,"Psts, Posterior Superior Temporal Sulcus ","rpSTS, rostroposterior superior temporal sulcus"
122,pSTS_R_2_1,Temporal Lobe,"Psts, Posterior Superior Temporal Sulcus ","rpSTS, rostroposterior superior temporal sulcus"
123,pSTS_L_2_2,Temporal Lobe,"Psts, Posterior Superior Temporal Sulcus ","cpSTS, caudoposterior superior temporal sulcus"
124,pSTS_R_2_2,Temporal Lobe,"Psts, Posterior Superior Temporal Sulcus ","cpSTS, caudoposterior superior temporal sulcus"
125,SPL_L_5_1,Parietal Lobe,"SPL, Superior Parietal Lobule","A7ip, intraparietal area 7(hIP3)"
126,SPL_R_5_1,Parietal Lobe,"SPL, Superior Parietal Lobule","A7ip, intraparietal area 7(hIP3)"
127,SPL_L_5_2,Parietal Lobe,"SPL, Superior Parietal Lobule","A7c, caudal area 7"
128,SPL_R_5_2,Parietal Lobe,"SPL, Superior Parietal Lobule","A7c, caudal area 7"
129,SPL_L_5_3,Parietal Lobe,"SPL, Superior Parietal Lobule","A7pc, postcentral area 7"
130,SPL_R_5_3,Parietal Lobe,"SPL, Superior Parietal Lobule","A7pc, postcentral area 7"
131,SPL_L_5_4,Parietal Lobe,"SPL, Superior Parietal Lobule","A5l, lateral area 5"
132,SPL_R_5_4,Parietal Lobe,"SPL, Superior Parietal Lobule","A5l, lateral area 5"
133,SPL_L_5_5,Parietal Lobe,"SPL, Superior Parietal Lobule","A7r, rostral area 7"
134,SPL_R_5_5,Parietal Lobe,"SPL, Superior Parietal Lobule","A7r, rostral area 7"
135,IPL_L_6_1,Parietal Lobe,"IPL, Inferior Parietal Lobule","A39c, caudal area 39(PGp)"
136,IPL_R_6_1,Parietal Lobe,"IPL, Inferior Parietal Lobule","A39c, caudal area 39(PGp)"
137,IPL_L_6_2,Parietal Lobe,"IPL, Inferior Parietal Lobule","A39rd, rostrodorsal area 39(Hip3)"
138,IPL_R_6_2,Parietal Lobe,"IPL, Inferior Parietal Lobule","A39rd, rostrodorsal area 39(Hip3)"
139,IPL_L_6_3,Parietal Lobe,"IPL, Inferior Parietal Lobule","A40rd, rostrodorsal area 40(PFt)"
140,IPL_R_6_3,Parietal Lobe,"IPL, Inferior Parietal Lobule","A40rd, rostrodorsal area 40(PFt)"
141,IPL_L_6_4,Parietal Lobe,"IPL, Inferior Parietal Lobule","A40c, caudal area 40(PFm)"
142,IPL_R_6_4,Parietal Lobe,"IPL, Inferior Parietal Lobule","A40c, caudal area 40(PFm)"
143,IPL_L_6_5,Parietal Lobe,"IPL, Inferior Parietal Lobule","A39rv, rostroventral area 39(PGa)"
144,IPL_R_6_5,Parietal Lobe,"IPL, Inferior Parietal Lobule","A39rv, rostroventral area 39(PGa)"
145,IPL_L_6_6,Parietal Lobe,"IPL, Inferior Parietal Lobule","A40rv, rostroventral area 40(PFop)"
146,IPL_R_6_6,Parietal Lobe,"IPL, Inferior Parietal Lobule","A40rv, rostroventral area 40(PFop)"
147,Pcun_L_4_1,Parietal Lobe,"Pcun, Precuneus","A7m, medial area 7(PEp)"
148,Pcun_R_4_1,Parietal Lobe,"Pcun, Precuneus","A7m, medial area 7(PEp)"
149,Pcun_L_4_2,Parietal Lobe,"Pcun, Precuneus","A5m, medial area 5(PEm)"
150,Pcun_R_4_2,Parietal Lobe,"Pcun, Precuneus","A5m, medial area 5(PEm)"
151,Pcun_L_4_3,Parietal Lobe,"Pcun, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) "
152,Pcun_R_4_3,Parietal Lobe,"Pcun, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr) "
153,Pcun_L_4_4,Parietal Lobe,"Pcun, Precuneus","A31, area 31 (Lc1)"
154,Pcun_R_4_4,Parietal Lobe,"Pcun, Precuneus","A31, area 31 (Lc1)"
155,PoG_L_4_1,Parietal Lobe,"PoG, Postcentral Gyrus","A1/2/3ulhf, area 1/2/3(upper limb, head and face region)"
156,PoG_R_4_1,Parietal Lobe,"PoG, Postcentral Gyrus","A1/2/3ulhf, area 1/2/3(upper limb, head and face region)"
157,PoG_L_4_2,Parietal Lobe,"PoG, Postcentral Gyrus","A1/2/3tonIa, area 1/2/3(tongue and larynx region)"
158,PoG_R_4_2,Parietal Lobe,"PoG, Postcentral Gyrus","A1/2/3tonIa, area 1/2/3(tongue and larynx region)"
159,PoG_L_4_3,Parietal Lobe,"PoG, Postcentral Gyrus","A2, area 2"
160,PoG_R_4_3,Parietal Lobe,"PoG, Postcentral Gyrus","A2, area 2"
161,PoG_L_4_4,Parietal Lobe,"PoG, Postcentral Gyrus","A1/2/3tru, area1/2/3(trunk region)"
162,PoG_R_4_4,Parietal Lobe,"PoG, Postcentral Gyrus","A1/2/3tru, area1/2/3(trunk region)"
163,INS_L_6_1,Insular Lobe,"INS, Insular Gyrus","G, hypergranular insular"
164,INS_R_6_1,Insular Lobe,"INS, Insular Gyrus","G, hypergranular insular"
165,INS_L_6_2,Insular Lobe,"INS, Insular Gyrus","vIa, ventral agranular insular"
166,INS_R_6_2,Insular Lobe,"INS, Insular Gyrus","vIa, ventral agranular insular"
